,단지명
2519,도화현대
2520,마포동원베네스트
2521,마포아크로타워
2522,마포트라팰리스
2523,삼성(550-0)
2524,정우상가맨션
2525,한화오벨리스크
2526,현대예술아파트
2527,광남벨라스1동
2528,광남벨라스2동
2529,강변한신코아
2530,마포쌍용황금아파트
2531,보성
2532,비체힐리버뷰
2533,강림스위트빌
2534,강변타운
2535,광남캐스빌A
2536,광남캐스빌B
2537,광남캐스빌C
2538,길명2차(455-4)
2539,대상3
2540,대상4
2541,대성2
2542,동보프리미아
2543,리츠
2544,망원동동원데쟈뷰
2545,목화
2546,몬드리안
2547,미원1
2548,미원2
2549,삼성화원
2550,삼우월드
2551,삼우하이뷰
2552,상암마젤란21
2553,성신
2554,송주보르미타운
2555,시티
2556,신부3차파스카
2557,신부파스카4차
2558,영화블렌하임
2559,예지안파크뷰
2560,예향
2561,참존1차(419-3)
2562,참존2차(102동)
2563,천우
2564,크라운빌
2565,태경크레앙스(101동)
2566,한강1차대주피오레
2567,한강2차대주피오레
2568,한강월드컵
2569,함성백합
2570,함성월드빌
2571,함성월드빌2차
2572,함성월드빌3차301동
2573,해오름2차
2574,현대리버빌
2575,현진에버빌2
2576,휴먼빌
2577,상수두산위브
2578,DMC상암센트럴파크1단지
2579,DMC상암센트럴파크2단지
2580,상암월드컵파크10단지
2581,상암월드컵파크11단지
2582,상암월드컵파크12단지
2583,상암월드컵파크2단지
2584,상암월드컵파크3단지
2585,상암월드컵파크4단지
2586,상암월드컵파크5단지
2587,상암월드컵파크6단지
2588,상암월드컵파크7단지
2589,상암월드컵파크9단지
2590,상암카이저팰리스클래식
2591,광남벨라스(1차)
2592,광남벨라스2차
2593,기정MAY(247-112)
2594,대우미래사랑
2595,메세나폴리스
2596,삼익플라주서교1
2597,서교푸르지오
2598,신세계드림빌
2599,에덴지우
2600,함성참좋은
2601,골든빌6차
2602,라인성서
2603,벨로스
2604,보영퍼팩트
2605,부림베스트빌
2606,삼우캐슬
2607,선경빌라트
2608,성사1차풍림아파트101동
2609,성산2차e-편한세상
2610,성산동성
2611,성산동자담이움아파트
2612,성산시영(대우)
2613,성산시영(선경)
2614,성산시영(유원)
2615,성산월드타운대림
2616,성산힐아파트
2617,성일빌딩
2618,세원
2619,예림아너스
2620,월드컵아이파크(666-0)
2621,월드컵아이파크(667)
2622,진흥하임시티
2623,현대하이츠아파트
2624,kcc웰츠
2625,뉴마인
2626,대우메트로디오빌
2627,대우월드마크마포
2628,브라운스톤공덕
2629,신공덕1차삼성래미안1아파트
2630,신공덕e편한세상
2631,신공덕래미안2차
2632,신공덕래미안3차
2633,신공덕아이파크
2634,펜트라우스
2635,(91-511)
2636,대원칸타빌
2637,마포경남아너스빌
2638,밤섬경남아너스빌
2639,벽산솔렌스힐
2640,신수동성원
2641,신촌삼익
2642,하나테크노빌
2643,서강GS
2644,마포트라팰리스2차
2645,삼환나띠르빌
2646,서서울삼성
2647,혜성
2648,노블레스빌(246-1)
2649,노블레스빌3
2650,새마을
2651,서암
2652,엘르빌
2653,엘르빌2
2654,휴먼
2655,마포자이
2656,상록
2657,세양청마루(101동)
2658,염리삼성래미안
2659,우공
2660,대림2차
2661,마포대림1
2662,마포용강삼성래미안
2663,DMC마포청구아파트
2664,강림월드타운
2665,건영월드컵
2666,동원월드타운
2667,마포중동현대
2668,백명TRENDYAPT
2669,울트라월드컵(참누리)
2670,중동계룡아파트
2671,대원파크빌
2672,서강예가
2673,서강오벨리스크스위트
2674,신촌금호
2675,신촌태영데시앙
2676,중앙하이츠101동
2677,중앙하이츠102동
2678,중앙하이츠103동
2679,중앙하이츠104동
2680,창전동현대홈타운
2681,창전래미안
2682,창전쌍용스윗닷홈
2683,해모로
2684,한강삼성
2685,한강밤섬자이
2686,KCC엠파이어리버
2687,그레이스3차
2688,대운행복
2689,두레
2690,두영이지안101동
2691,리버아인
2692,삼산
2693,삼성강변
2694,일신건영휴먼빌아파트
2695,장미(466-0)
2696,한강그린2차
2697,한강동원아파트
2698,반도유보라아일랜드
2699,밤섬예가클래식
2700,밤섬힐스테이트
2701,DMC래미안클라시스
2702,DMC센트레빌
2703,남가좌동현대
2704,래미안남가좌2차
2705,명지플러스빌아파트(A)
2706,백련미라보
2707,엠화일비동
2708,창덕에버빌
2709,돈의문센트레빌
2710,럭키대현
2711,예스에이피엠
2712,혜우
2713,서소문
2714,DMC두산위브
2715,DMC래미안e편한세상
2716,DMC서부인터빌
2717,DMC아이파크
2718,DMC이랜드해가든
2719,DMC한양
2720,DMC현대아파트
2721,DMC휴먼빌아파트
2722,동도하이츠에이동
2723,명진
2724,북가좌삼호
2725,선결
2726,세라
2727,월드컵현대
2728,청솔하이츠2동
2729,충우팰리스1
2730,충우팰리스2
2731,투데이
2732,한울뉴타운
2733,경남102동
2734,그린빌
2735,문영센스빌
2736,북아현1차
2737,북아현2차
2738,북아현4차
2739,북아현경남
2740,북아현맨션
2741,비버리힐
2742,삼우빌라
2743,수목아이엠
2744,우민A
2745,경향빌라트
2746,대우푸르지오
2747,동도아카데미하우스2차
2748,드리밍아파트
2749,리베르떼-빌(LibertVille)
2750,백광
2751,삼우장미
2752,선명(102동)
2753,성원쌍떼빌팰리스
2754,시민
2755,에코빌리지
2756,연화
2757,연희에스엠
2758,연희자이엘라
2759,우국한마음
2760,은하
2761,일진아이윌
2762,제이아델리아
2763,충우하이빌
2764,파크빌
2765,한인트윈빌
2766,홍연
2767,홍연(723-9)
2768,독립문삼호
2769,3RU-City
2770,노블레스
2771,래디앙
2772,센타폴리스
2773,엘르빌2차
2774,하이펠리스
2775,산경
2776,천연뜨란채
2777,글로리
2778,미동
2779,충림예하임
2780,충정리시온
2781,충정솔레디움(101동)
2782,충정솔레디움(102동)
2783,피어리스
2784,행복한
2785,에스케이뷰
2786,독립문극동(200-0)
2787,독립문파크빌
2788,교수(B)
2789,그랜드(A동)
2790,나눔스타빌
2791,동일
2792,동평늘푸른
2793,명가
2794,미건스카이빌
2795,베벌리힐즈
2796,부림
2797,서강1차(1동)
2798,서강2차(2동)
2799,서강주상복합
2800,세한숲속마을
2801,신계
2802,신원지벤스타2
2803,신원지벤스타7
2804,유진맨션
2805,장성미모아
2806,제이씨라디앙
2807,풍림1차
2808,풍림2
2809,"현대(1,2차)"
2810,홍은동벽산
2811,홍은동풍림아이원
2812,홍은미성
2813,홍은센트레빌
2814,경일
2815,고은
2816,광산
2817,그레이스(B동)
2818,그레이스A동
2819,남양
2820,동양드림
2821,동일3차
2822,동일4차
2823,럭키힐
2824,마체스터
2825,무악재한화
2826,문화촌현대
2827,서강
2828,서울맨션
2829,아름채
2830,안산맨숀
2831,원일
2832,유원하나
2833,인왕
2834,인왕궁맨숀
2835,인왕드림빌
2836,인왕산벽산
2837,인왕산어울림
2838,인왕산한신휴플러스
2839,인왕산현대
2840,조한
2841,청구1차
2842,청구2차
2843,청구3차
2844,태영으뜸(데시앙)
2845,홍제비콘드림힐
2846,홍제삼성래미안
2847,홍제원그린뷰아파트
2848,홍제원현대(459-0)
2849,홍제한양
2850,홍제해성
2851,홍제현대
2852,궁전
2853,그랑빌
2854,그랜드빌(100-8)
2855,그린피아
2856,노블하우스2
2857,다우탑스빌라트
2858,드림팰리스
2859,래미안퍼스티지
2860,레베빌
2861,반포1차우정에쉐르
2862,반포2차ApelBaum
2863,반포경남아파트
2864,반포대우멤버스카운티2차
2865,반포동피카소빌
2866,반포두산힐스빌
2867,반포리체
2868,반포미도
2869,반포미도2차아파트
2870,반포샤인힐4차
2871,반포서래월드메르디앙스칼라아파트A동
2872,반포에스케이뷰
2873,반포자이
2874,반포주공1단지
2875,반포푸르지오
2876,반포현대
2877,반포현대빌라트C
2878,반포훼미리(102동)
2879,반포훼미리(103동)
2880,반포힐스테이트
2881,베로니스6차
2882,비버리힐즈
2883,산호아파트
2884,삼호가든맨션(3차)
2885,삼호가든맨션(4차)
2886,삼호가든맨션(5차)
2887,상지리츠빌(73-2)
2888,새티스
2889,서래아르드빌
2890,쏠레뉴
2891,에이아이디차관주택
2892,엠브이아파트
2893,예당하우스
2894,장원빌라트
2895,정광아파트
2896,청광아트빌라12
2897,타운빌
2898,프레스턴클레식
2899,한신15차
2900,한신23차
2901,한신서래
2902,현대동궁아파트
2903,SK리더스뷰(파스텔시티)
2904,UPPERHOUSE
2905,강남아트빌
2906,골드아트빌
2907,그랑씨엘3차
2908,금강프리빌
2909,나스빌3차
2910,네스코
2911,네스코뮤즈빌(B)
2912,노블씨티
2913,뉴캐슬
2914,다솔
2915,대림e-편한세상1
2916,대우(효령)
2917,대우로얄빌라트(1027-1)
2918,덕산홈타운
2919,두원
2920,디오수페리움2
2921,라빌레뜨
2922,래미안방배아트힐(1008-2)
2923,래미안방배에버뉴
2924,롯데아파트
2925,롯데캐슬아르떼
2926,롯데캐슬포레스트
2927,롯데캐슬헤론
2928,루이스캐슬
2929,리벨루스(804-1)
2930,리치팰리스
2931,방배1차현대홈타운
2932,방배2차e-편한세상
2933,방배2차현대홈타운
2934,방배3차e-편한세상
2935,방배3차현대홈타운
2936,방배5차상지리츠빌
2937,방배CJ나인빌1차
2938,방배노블힐스
2939,방배대우(562-1)
2940,방배대우디오빌
2941,방배대우멤버스카운티
2942,방배대우멤버스카운티(809-17)
2943,방배대우멤버스카운티201
2944,방배대우멤버스카운티501
2945,방배대우유로카운티
2946,방배동갤러리하우스3
2947,방배디오슈페리움Ⅰ
2948,방배래미안타워
2949,방배렉슬
2950,방배롯데캐슬로제
2951,방배브라운가
2952,방배비젼21빌라트
2953,방배빌라트
2954,방배삼성홈타운(102)
2955,방배샤인힐6차
2956,방배서리풀힐스
2957,방배승원아트빌
2958,방배신동아럭스빌
2959,방배신삼호
2960,방배씨티(보성)
2961,방배아이파크
2962,방배아크로리버
2963,방배아크로타워
2964,방배아크빌
2965,방배아트e-편한세상102
2966,방배아트e-편한세상106
2967,방배아트e편한세상101
2968,방배아트e편한세상105
2969,방배어울림
2970,방배엔스위트
2971,방배우성
2972,방배임광
2973,방배자이
2974,방배타운하우스
2975,방배팰리스빌라
2976,방배한화
2977,방배현대멤피스2
2978,방배호원
2979,방배홈타운(479-11)
2980,방배힐1차
2981,베로니스3차
2982,브라운스톤방배
2983,브라운스톤효령
2984,블레스밸리
2985,빌라일두오모
2986,삼성래미안1
2987,삼호1동~3동
2988,삼호2
2989,삼호한숲
2990,삼환나띠르빌(1002-11)
2991,삼환나띠르빌(1002-7)
2992,삼환나띠르빌(1002-8)
2993,삼환나띠르빌(1002-9)
2994,상지리츠빌1
2995,상지리츠빌3차
2996,상지리츠빌4차(843-11)
2997,상지리츠빌4차(843-13)
2998,서리풀e편한세상
2999,서초이에스에이3차
3000,서희융창
3001,선영베스트
3002,설록
3003,성지라빌레뜨B
3004,세양아르비채102동
3005,신구하이텍빌리지
3006,신원아침도시
3007,신한엔시모
3008,신호나이스빌
3009,쌍용예가클래식
3010,써니힐즈
3011,아이리스
3012,영지아트빌라
3013,용성빌리지
3014,월드빌라트(798-5)
3015,월드빌리지
3016,윈저빌
3017,이연아마빌레
3018,청광(761-5)
3019,청암
3020,태화빌라(733)
3021,파라다이스(477-7)
3022,판테옹빌라
3023,팔라티노
3024,퍼시픽56차
3025,푸른마을
3026,프레스턴(1-62)
3027,프리우스
3028,한신트리플
3029,현대맨션
3030,현대멤피스
3031,현대빌라트(999-2)
3032,현대아르빌
3033,현대오페라하우스2차
3034,효산빌라트
3035,N-Suite(1513-2)
3036,N-Suite101동(1511-6)
3037,N-Suite102동(1511-3)
3038,강남태영데시앙루브
3039,경남아너스빌(1608-8)
3040,경남아너스빌201동
3041,그린월드
3042,극동스타클래스2
3043,끄레메빌
3044,다솔멤버스
3045,다우월드아파트
3046,대림서초리시온
3047,대상파크빌
3048,대호프레조빌
3049,"더?오데움(101,102동)"
3050,더?오데움(103동)
3051,더샵서초
3052,더샵오데움(104동)
3053,도무스
3054,동아빌라트1
3055,동아빌리지
3056,동원베네스트아파트
3057,동일하이빌
3058,두산위브(1362)
3059,두진한아름
3060,라파엘로
3061,래미안서초3차
3062,래미안서초4차
3063,래미안서초5차
3064,래미안서초7차
3065,래미안서초스위트
3066,래미안서초유니빌
3067,레미안서초6차(1520-9)
3068,로얄하이츠
3069,롯데캐슬메디치
3070,롯데캐슬스파
3071,롯데캐슬쥬피터
3072,롯데캐슬클래식
3073,마샹스
3074,마샹스(2차)
3075,밀라텔쉐르빌
3076,브라운스톤로얄스위트서초
3077,브라운스톤서초(1677-1)
3078,삼성서초가든스위트
3079,삼풍아파트
3080,삼환바우스
3081,상지리츠빌(4)
3082,서초1차e-편한세상
3083,서초2차e-편한세상
3084,서초3차e편한세상
3085,서초4현대
3086,서초5차e편한세상
3087,서초가람아파트
3088,서초교대e편한세상
3089,서초극동스타클래스
3090,서초금호어울림
3091,서초나산스위트
3092,서초네스피아A
3093,서초네스피아B
3094,서초녹원
3095,서초대성유니드
3096,서초대우
3097,서초대우아이빌
3098,서초동대우디오빌프라임
3099,서초동두산위브2
3100,서초동롯데캐슬리버티
3101,서초동삼성쉐르빌2
3102,서초동삼원그린빌
3103,서초동아이파크
3104,서초동아타워
3105,서초동현대리츠빌
3106,서초두산위브트레지움
3107,서초드림하이츠
3108,서초래미안
3109,서초레몬
3110,서초로얄
3111,서초롯데캐슬84
3112,서초벽산블루밍
3113,서초삼성래미안
3114,서초쌍용플래티넘
3115,서초아크빌
3116,서초아트자이
3117,서초에버빌
3118,서초에스케이뷰
3119,서초우방유쉘
3120,서초이오빌
3121,서초자연인아파트(102동)
3122,서초자이
3123,서초중흥S-클래스(도시형생활주택)
3124,서초지웰
3125,서초캐슬
3126,서초코아
3127,서초타운트라팰리스
3128,서초태동스위트
3129,서초트라팰리스
3130,서초파라곤
3131,서초프레스턴
3132,서초한빛삼성
3133,서초한신
3134,서초한신리빙타워
3135,서초한양수자인
3136,서초한일
3137,서초한일유앤아이주상복합
3138,서초현대
3139,서초화원그랑빌
3140,서초힐하우스
3141,스위트빌
3142,신동아아파트(1차)
3143,신동아아파트(2차)
3144,신원아침도시(1420)
3145,신원아침도시(1434)
3146,아남
3147,아크로비스타
3148,애지앙
3149,엘리제
3150,예림
3151,예성그린(1667-3)
3152,오로라빌
3153,옥스포드빌라트
3154,월드메르디앙(오페라)
3155,월드메르디앙B
3156,월드빌라트
3157,유원서초
3158,장미아파트
3159,초원현대
3160,트라움하우스2
3161,풍림아이원플러스
3162,한승미메이드
3163,햄프턴코트
3164,현대ESA2
3165,현대빌리지
3166,현대서초3
3167,현대성우주상복합아파트
3168,현대슈퍼빌
3169,현대이에스에이아파트
3170,서초포레스타7단지
3171,금일
3172,남성1차현대타운
3173,뉴현대
3174,다원아파트
3175,대흥
3176,더-클라스
3177,드림팰리스101동
3178,리치스
3179,메르디안하우스
3180,미영(101)
3181,베누시아
3182,블루하이츠
3183,비젼(102)
3184,비젼(103)
3185,삼익양재빌라
3186,새티스(402-10)
3187,신영체르니
3188,양재동메트로
3189,양재동현대
3190,양재테크노2차
3191,양재한신휴플러스
3192,우면파크아파트
3193,우성112
3194,우성KBS(113동)
3195,인랜드
3196,초원탑스빌
3197,파크뷰
3198,파크사이드
3199,포레스빌
3200,한솔로이젠트
3201,한아름
3202,해청3차
3203,현대타운
3204,현대테라하임101동
3205,현대테라하임102동
3206,휴먼씨티
3207,힐하우스
3208,동고
3209,서초네이처힐1단지
3210,서초네이처힐2단지
3211,서초네이처힐3단지
3212,서초네이처힐4단지
3213,서초네이처힐6단지
3214,서초네이처힐7단지
3215,서초호반써밋
3216,한라
3217,녹원한신
3218,대우아이빌
3219,대주피오레아파트
3220,띠에라하우스
3221,로즈빌
3222,롯데캐슬갤럭시
3223,롯데캐슬갤럭시(50-1)
3224,미주파스텔
3225,베니하우스
3226,보미리아파트
3227,브라운스톤잠원
3228,블루힐하우스
3229,성진준빌라트
3230,신반포10
3231,신반포11
3232,신반포12
3233,신반포13
3234,신반포14
3235,신반포16
3236,신반포17
3237,신반포18(49-17)
3238,신반포19
3239,신반포2
3240,신반포20
3241,신반포21
3242,신반포22
3243,신반포24
3244,신반포25
3245,신반포26
3246,신반포27
3247,신반포4
3248,신반포5
3249,신반포6
3250,신반포7
3251,신반포8
3252,신반포9
3253,신반포청구
3254,신화
3255,잠원동상지리츠빌카일룸
3256,잠원동트루빌
3257,잠원아이비
3258,잠원중앙하이츠(A동)
3259,잠원현대훼밀리
3260,킴스빌리지
3261,한강
3262,한신그린
3263,한신로얄
3264,한신진일빌라트
3265,한신타운
3266,한신타워
3267,현대실크빌
3268,훼미리
3269,굿모닝하이츠
3270,금호삼성래미안
3271,신금호
3272,신금호두산위브
3273,푸른마을(8차)
3274,하나
3275,금호자이1차
3276,래미안하이리버
3277,상기
3278,금호1차푸르지오
3279,금호자이2차
3280,금호한신
3281,리버마이다스빌
3282,브라운스톤2차
3283,브라운스톤금호
3284,삼산금호
3285,서울숲푸르지오
3286,서울숲푸르지오2차
3287,마장동중앙하이츠
3288,마장동해맑은아파트
3289,삼웅아파트1동
3290,세림
3291,신명스카이뷰
3292,아트리움
3293,장원
3294,한건토파즈빌
3295,행복드림
3296,강변건영아파트
3297,강변동양
3298,갤러리아포레
3299,대우2
3300,뚝섬현대
3301,서울숲대림
3302,서울숲성수현대
3303,서울숲한양현대
3304,서울숲해오름(717-0)
3305,신장미
3306,한진타운
3307,강변금호타운
3308,강변임광
3309,강변청구3
3310,금호타운2차아파트
3311,대명루첸
3312,롯데캐슬파크
3313,서울숲금강아미움
3314,성수1차대우아파트
3315,성수동두산위브
3316,성수우방2차아파트
3317,우성2차
3318,청구강변1
3319,현대I-PARK
3320,힐스테이트
3321,서울숲아이파크
3322,극동그린
3323,극동옥정
3324,동인샤인빌
3325,래미안 옥수 리버젠
3326,레미테지
3327,옥수
3328,옥수어울림
3329,옥수하이츠
3330,한남하이츠
3331,화이트캐슬
3332,YM프라젠
3333,금호현대
3334,대림(1차)
3335,대림(2차)
3336,대림강변타운
3337,서울숲리버그린동아아파트
3338,극동미라주
3339,드림
3340,무학현대
3341,상리제나우스
3342,왕십리지웰
3343,왕십리풍림아이원
3344,청계벽산
3345,한신무학
3346,한진해모로
3347,서울숲 한신 더 휴
3348,서울숲삼부아파트
3349,서울숲행당푸르지오
3350,행당한진타운
3351,주암해븐
3352,청계대주파크빌
3353,홍익한신
3354,길음뉴타운1단지(래미안길음1차)
3355,길음뉴타운2단지푸르지오
3356,길음뉴타운3단지푸르지오
3357,길음뉴타운4단지(e편한세상)
3358,길음뉴타운5단지(래미안)
3359,길음뉴타운6단지(래미안)
3360,길음뉴타운7단지(두산위브)
3361,길음뉴타운8단지(래미안)
3362,길음뉴타운9단지(래미안)
3363,길음뉴타운신안파크아파트
3364,길음동동부센트레빌(1278-0)
3365,길음현대
3366,삼부컨비니언
3367,신아
3368,프리젠트빌
3369,구현대
3370,대성유니드(641-0)
3371,돈암동 풍림아파트 101~105동
3372,돈암동더샵아파트
3373,돈암동삼성
3374,돈암동해피트리
3375,돈암현대아파트
3376,돈암힐스테이트
3377,동소문현대
3378,범양
3379,삼성아지오아파트
3380,성일우리미
3381,이수브라운스톤돈암
3382,한진(609-1)
3383,코아루센타시아
3384,태극에버빌
3385,삼보힐하우스
3386,송산아파트
3387,돈암동일하이빌
3388,브라운스톤동선
3389,한신플러스C
3390,이편한세상보문
3391,보문하우스토리
3392,동문골드빌A동
3393,삼선푸르지오
3394,삼선현대힐스테이트
3395,삼선에스케이뷰
3396,성종그린
3397,유니아테라스
3398,청기와
3399,석관래미안
3400,성북
3401,성북좋은
3402,주암
3403,안암동삼성래미안
3404,대광
3405,동관아트빌
3406,동아쉐르빌
3407,안암
3408,꿈의숲대명루첸아파트
3409,신장위아파트
3410,장위동동원베네스트
3411,참누리아파트
3412,코코아파트
3413,길음뉴타운경남아너스빌
3414,길음뉴타운데시앙
3415,대원아파트
3416,대창쉐르빌
3417,동우
3418,라온유
3419,미양산타빌
3420,"산장아파트가동,나동"
3421,쌍용2
3422,정릉2차e-편한세상
3423,정릉2차대주피오레
3424,정릉e-편한세상
3425,정릉동푸른
3426,정릉성원아파트101동102동
3427,정릉스카이쌍용아파트
3428,정릉우성아파트 101~105동
3429,정릉중앙하이츠아파트
3430,정릉푸르지오
3431,정릉푸른마을동아
3432,정릉풍림아이원
3433,정릉한일유앤아이
3434,정릉힐스테이트
3435,정릉힐스테이트1차
3436,정릉힐스테이트3차
3437,중앙하이츠빌1단지
3438,중앙하이츠빌2단지
3439,피오레
3440,래미안라센트
3441,래미안세레니티
3442,선경(127)
3443,센트럴힐
3444,아이파크종암동1차
3445,아이파크종암동2차
3446,우림카이저팰리스
3447,종암2차SKVIEW
3448,종암선경
3449,종암에스케이
3450,황지클래스
3451,길음서희스타힐스
3452,꿈의숲푸르지오
3453,동신주택
3454,동일하이빌뉴시티
3455,래미안월곡
3456,삼전솔하임3차
3457,샹그레빌
3458,성북힐스테이트(101동)
3459,성북힐스테이트(102동)
3460,수산동양빌
3461,월곡갑을명가
3462,월곡두산위브
3463,월곡래미안루나밸리
3464,코업스타클래스
3465,e지브로
3466,sk파크타워
3467,가락(1차)쌍용아파트
3468,가락3차쌍용스윗닷홈(103동)
3469,"가락3차쌍용스윗닷홈101동,102동"
3470,가락금호아파트
3471,가락미륭아파트
3472,가락스타클래스
3473,가락쌍용(2차)
3474,가락우성2
3475,가락현대투웰브(101동)
3476,골드팰리스아파트
3477,그린아파트
3478,금홍해오름
3479,동구햇살
3480,동궁리치웰(101동)
3481,동궁리치웰(102동)
3482,동궁리치웰1
3483,동성아파트(102동)
3484,래미안파크팰리스
3485,성해
3486,송파Nsuite
3487,송파동부쎈트레빌
3488,시영1
3489,시영2
3490,신한에스빌-미지엔
3491,쌍용노블래스
3492,쌍용스윗닷홈(104동)
3493,쌍용스윗닷홈(105동)
3494,씨티빌
3495,예일
3496,정산파크뷰
3497,주성파크빌
3498,청공빌딩주상복합-현대빌리지
3499,카나피아
3500,풍림1
3501,현대(5차)
3502,현대(60동)
3503,현대7
3504,거여1단지
3505,거여2단지효성
3506,거여2단지효성아파트
3507,거여4단지
3508,거여5단지
3509,로얄
3510,메이저A동
3511,보화1차
3512,블레스
3513,삼호아파트
3514,쌍용스윗닷홈2차
3515,쌍용스윗닷홈거여역1차
3516,우방1
3517,팰리스힐
3518,퍼시픽53차
3519,현대1차
3520,현대3차
3521,다우림
3522,마천금호어울림1차아파트
3523,마천동금호타운1
3524,삼익1
3525,송파자연채
3526,송파파크데일1단지
3527,송파파크데일2단지
3528,천마그랑밸리
3529,한보1
3530,광남캐스빌(C동)
3531,뉴파크팰리스
3532,동궁리치웰문정(1차)
3533,동궁리치웰문정(2차)
3534,동부브리앙뜨1
3535,동부화이트빌(2동)
3536,문정가락현대1차
3537,문정대우푸르지오1차
3538,문정대우푸르지오2차
3539,문정대우푸르지오3차
3540,문정동아
3541,문정래미안
3542,문정시영
3543,미소로
3544,보라뷰
3545,브리앙뜨
3546,삼형
3547,아름빌
3548,올림픽훼밀리타운
3549,인택
3550,자이파인빌(102동)
3551,트윈팰리스(101동)
3552,트윈팰리스(102동)
3553,현대(62-5)
3554,(185-5)
3555,광남
3556,광명아파트
3557,뉴파크플러스
3558,몽촌(아)
3559,방이금호어울림
3560,보미리즌빌(101동)
3561,보미리즌빌(102동)
3562,서경아파트
3563,신구블레스밸리
3564,신동아타워
3565,신암밀리안아파트
3566,실버빌타운
3567,옥산크리스탈
3568,올림픽베어스타운1
3569,올림픽선수기자촌1단지
3570,올림픽선수기자촌2단지
3571,올림픽선수기자촌3단지
3572,올림픽카운티
3573,원진아뜨리에
3574,윈저하우스
3575,은성아파트
3576,인택스빌3차
3577,인택파크랜드
3578,정우아트빌B
3579,주함위너스Ⅰ
3580,주함위너스Ⅱ
3581,코오롱아파트
3582,파라다이스빌(40-0)
3583,한성나이스빌
3584,해동아파트A동(134-5)
3585,해동아파트B동(134-22)
3586,해태그린피아빌라트
3587,현대주상복합
3588,현대파크빌라트
3589,현대홈타운스위트103
3590,현대홈타운스위트104
3591,현대홈타운스위트105
3592,동승
3593,동원아이파크
3594,레이크시티
3595,하늘공원(69-5)
3596,K.L.C
3597,로쟌뷰
3598,미켈란호수가
3599,서원파인뷰(101동)
3600,석촌동효신아파트
3601,예명
3602,잠실한솔
3603,현대(201)
3604,2차한양아파트
3605,SK
3606,가락삼익맨숀
3607,대우레이크월드
3608,래미안송파파인탑
3609,레이크해모로
3610,미성맨션
3611,송파삼성래미안아파트
3612,에스-탑
3613,여흥레이크빌
3614,한양파크뷰
3615,현대레이크빌1
3616,호수임광
3617,홍익봄마을
3618,더샵스타리버
3619,더샵스타파크
3620,롯데캐슬골드
3621,잠실아이스페이스
3622,잠실푸르지오월드마크
3623,장미1
3624,장미2
3625,장미3
3626,진주
3627,파크리오
3628,한빛웰리스
3629,한신코아
3630,그랑밸리(119-27)
3631,금성리치몬드
3632,노블하우스1
3633,다성파크뷰
3634,르네상스빌
3635,매그놀리아(2차)
3636,명성화인캐슬
3637,쌍용스위닷홈(201동)
3638,쌍용스윗닷홈(401동)
3639,쌍용스윗닷홈1단지
3640,영풍
3641,오금아르미안
3642,올림픽파크센트레빌
3643,우창
3644,진성
3645,현대(2-4차)
3646,현대백조
3647,갤러리아팰리스
3648,레이크팰리스
3649,리센츠
3650,신동아빌라트
3651,아시아선수촌아파트
3652,우성4차
3653,잠실엘스
3654,잠실월드메르디앙
3655,주공아파트 5단지
3656,트리지움
3657,송파파인타운10단지
3658,송파파인타운11단지
3659,송파파인타운12단지
3660,송파파인타운13단지
3661,송파파인타운1단지
3662,송파파인타운2단지
3663,송파파인타운3단지
3664,송파파인타운4단지
3665,송파파인타운5단지
3666,송파파인타운6단지
3667,송파파인타운7단지
3668,송파파인타운8단지
3669,송파파인타운9단지
3670,강변현대
3671,금강캐스빌
3672,대동1
3673,대아(제101상가동)
3674,동아한가람1
3675,미랜드퀸
3676,삼용
3677,송파해모로
3678,송파현대힐스테이트
3679,신성노바빌아파트
3680,씨티극동1
3681,연지토성
3682,케이앤피상상
3683,토성현대
3684,현대리버빌1지구
3685,현대리버빌2지구
3686,강산빌라트
3687,금강에스쁘아
3688,금호아파트(768)
3689,대원칸타빌2
3690,대원칸타빌3
3691,동구햇살아파트2차
3692,동도빌라트
3693,롯데캐슬위너
3694,리버하이츠
3695,목4현대
3696,목동2차아이파크
3697,목동가든스위트
3698,목동글로리파크
3699,목동금호베스트빌
3700,목동길성그랑프리텔
3701,목동노블레스
3702,목동다솔
3703,목동대림
3704,목동동화옥시죤-7
3705,목동두산위브
3706,목동리버힐
3707,목동미소래
3708,목동성삼하이츠
3709,목동성원
3710,목동성원(926-8)
3711,목동성원초원
3712,목동신시가지1
3713,목동신시가지2
3714,목동신시가지3
3715,목동신시가지4
3716,목동신시가지5
3717,목동신시가지6
3718,목동신시가지7
3719,목동이-편한세상
3720,목동진흥
3721,목동청구한신아파트
3722,목동태진드림피아
3723,목동트윈빌
3724,목동현대1
3725,목동효성
3726,목동훼미리
3727,목동휘버스II
3728,벽산미라지타워
3729,보경
3730,부영2
3731,부영3
3732,부영그린타운1
3733,삼성(528-7)
3734,상부파크팰리스
3735,상진지오밸리나동
3736,세종그랑시아
3737,수산팰리스
3738,스카이빌아파트
3739,신목
3740,신한이모르젠
3741,신화타워
3742,애드웰(534)
3743,에이스
3744,엘리시아
3745,우당
3746,월드메르디앙2
3747,월드메르디앙3
3748,웨스트빌
3749,웨스트빌(102동)
3750,일신파스텔
3751,정은스카이빌(959)
3752,진도1
3753,진도2
3754,청포도아파트
3755,트라팰리스웨스턴에비뉴
3756,트라팰리스이스턴에비뉴
3757,하이페리온2
3758,행복자
3759,현대파크빌(907-23)
3760,현대하이페리온
